locus_tag	gene_symbol	product	type
EQU24_RS01235		hypothetical protein	CDS
EQU24_RS01240		hypothetical protein	CDS
EQU24_RS01245		helix-turn-helix domain-containing protein	CDS
EQU24_RS01250		hypothetical protein	CDS
EQU24_RS01255		hypothetical protein	CDS
EQU24_RS01260		hypothetical protein	CDS
EQU24_RS01265		hypothetical protein	CDS
EQU24_RS01270		hypothetical protein	CDS
EQU24_RS01275		WGR domain-containing protein	CDS
EQU24_RS01280		ribbon-helix-helix protein, CopG family	CDS
EQU24_RS01285		DNA cytosine methyltransferase	CDS
EQU24_RS01290		DNA mismatch endonuclease Vsr	CDS
EQU24_RS01295	drmD	DISARM system SNF2-like helicase DrmD	CDS
EQU24_RS01300		hypothetical protein	CDS
EQU24_RS01305		IS66 family transposase	CDS
EQU24_RS01310		hypothetical protein	CDS
EQU24_RS01315		RNA-directed DNA polymerase	CDS
EQU24_RS01320	drmA	DISARM system helicase DrmA	CDS
EQU24_RS01325		DUF1998 domain-containing protein	CDS
EQU24_RS01330	drmC	DISARM system phospholipase D-like protein DrmC	CDS
EQU24_RS01335		hypothetical protein	CDS
EQU24_RS01340		metallophosphatase domain-containing protein	CDS
EQU24_RS01345		type II toxin-antitoxin system HipA family toxin	CDS
EQU24_RS01350		helix-turn-helix domain-containing protein	CDS
EQU24_RS01355		hypothetical protein	CDS
EQU24_RS01360		AAA family ATPase	CDS
EQU24_RS01365		hypothetical protein	CDS
EQU24_RS01370			tRNA
EQU24_RS01375		hypothetical protein	CDS
EQU24_RS01385	lexA	transcriptional repressor LexA	CDS
EQU24_RS01390		hypothetical protein	CDS
EQU24_RS01395		SEC-C metal-binding domain-containing protein	CDS
EQU24_RS01405		UvrD-helicase domain-containing protein	CDS
EQU24_RS01410		hypothetical protein	CDS
EQU24_RS01415		hypothetical protein	CDS
EQU24_RS01420		alpha/beta hydrolase	CDS
EQU24_RS01425		retroviral-like aspartic protease family protein	CDS
EQU24_RS01430		sodium-translocating pyrophosphatase	CDS
EQU24_RS01455		formate dehydrogenase subunit delta	CDS
EQU24_RS01460	fdhD	formate dehydrogenase accessory sulfurtransferase FdhD	CDS
EQU24_RS01465	fdhF	formate dehydrogenase subunit alpha	CDS
EQU24_RS01470		NADH-quinone oxidoreductase subunit NuoF	CDS
EQU24_RS01475		formate dehydrogenase subunit gamma	CDS
EQU24_RS01480		helix-turn-helix transcriptional regulator	CDS
EQU24_RS01485		type II toxin-antitoxin system Phd/YefM family antitoxin	CDS
EQU24_RS01490		DUF3368 domain-containing protein	CDS
EQU24_RS01500		saccharopine dehydrogenase NADP-binding domain-containing protein	CDS
EQU24_RS01505		hypothetical protein	CDS
EQU24_RS01510		TolC family protein	CDS
EQU24_RS01515		HlyD family efflux transporter periplasmic adaptor subunit	CDS
EQU24_RS01520		ATP-binding cassette domain-containing protein	CDS
EQU24_RS01525		GspE/PulE family protein	CDS
EQU24_RS01530		choice-of-anchor I family protein	CDS
EQU24_RS01535		inorganic pyrophosphatase	CDS
EQU24_RS01545		VTT domain-containing protein	CDS
EQU24_RS01550	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase	CDS
EQU24_RS01560		DUF47 family protein	CDS
EQU24_RS01565		esterase-like activity of phytase family protein	CDS
EQU24_RS01575		hypothetical protein	CDS
EQU24_RS01585		DUF2817 domain-containing protein	CDS
EQU24_RS01590		alpha/beta hydrolase	CDS
EQU24_RS01595		YjfB family protein	CDS
EQU24_RS01600		hypothetical protein	CDS
EQU24_RS01605		NfeD family protein	CDS
EQU24_RS01610		paraslipin	CDS
EQU24_RS01615		paraslipin	CDS
EQU24_RS01620		5-bromo-4-chloroindolyl phosphate hydrolysis family protein	CDS
EQU24_RS01625		hypothetical protein	CDS
EQU24_RS01630		LysR substrate-binding domain-containing protein	CDS
EQU24_RS01635		EAL domain-containing protein	CDS
EQU24_RS01640		alpha/beta hydrolase	CDS
EQU24_RS01645		TOBE-like domain-containing protein	CDS
EQU24_RS01650	cysW	sulfate ABC transporter permease subunit CysW	CDS
EQU24_RS01655	cysT	sulfate ABC transporter permease subunit CysT	CDS
EQU24_RS01660		sulfate ABC transporter substrate-binding protein	CDS
EQU24_RS01665		alginate export family protein	CDS
EQU24_RS01670		YezD family protein	CDS
EQU24_RS01675		acyl-CoA dehydrogenase family protein	CDS
EQU24_RS01680		amino acid adenylation domain-containing protein	CDS
EQU24_RS01685		hypothetical protein	CDS
EQU24_RS01690		phosphopantetheine-binding protein	CDS
EQU24_RS01695		tryptophan 7-halogenase	CDS
EQU24_RS01700		beta-ketoacyl-ACP synthase	CDS
EQU24_RS01705		hotdog family protein	CDS
EQU24_RS01710	fabG	3-oxoacyl-ACP reductase FabG	CDS
EQU24_RS01715		beta-ketoacyl-ACP synthase	CDS
EQU24_RS01720		1-phosphofructokinase family hexose kinase	CDS
EQU24_RS01725		DUF2384 domain-containing protein	CDS
EQU24_RS01730		RES family NAD+ phosphorylase	CDS
EQU24_RS01735		hypothetical protein	CDS
EQU24_RS01740		diguanylate cyclase	CDS
EQU24_RS01745		DUF72 domain-containing protein	CDS
EQU24_RS01750		RtcB family protein	CDS
EQU24_RS01755		archease	CDS
EQU24_RS01760	cydX	cytochrome bd-I oxidase subunit CydX	CDS
EQU24_RS01765		DUF504 domain-containing protein	CDS
EQU24_RS01770		SagB/ThcOx family dehydrogenase	CDS
EQU24_RS01775		transporter substrate-binding domain-containing protein	CDS
EQU24_RS01780		DUF853 family protein	CDS
EQU24_RS01785		MBL fold metallo-hydrolase	CDS
EQU24_RS01790		heme-binding protein	CDS
EQU24_RS01795		lyase family protein	CDS
EQU24_RS01800		ISAs1 family transposase	CDS
EQU24_RS01805		hypothetical protein	CDS
EQU24_RS01810		ferritin-like domain-containing protein	CDS
EQU24_RS01815		DNA/RNA non-specific endonuclease	CDS
EQU24_RS01820		alpha/beta-hydrolase family protein	CDS
EQU24_RS01830	ftsH	ATP-dependent zinc metalloprotease FtsH	CDS
EQU24_RS01835	mscL	large-conductance mechanosensitive channel protein MscL	CDS
EQU24_RS01840	yfbR	5'-deoxynucleotidase	CDS
EQU24_RS01845		NAD(P)/FAD-dependent oxidoreductase	CDS
EQU24_RS01855		type II toxin-antitoxin system ParD family antitoxin	CDS
EQU24_RS01860		hypothetical protein	CDS
EQU24_RS01870		PepSY domain-containing protein	CDS
EQU24_RS01880		TonB-dependent receptor	CDS
EQU24_RS01885		DUF4351 domain-containing protein	CDS
EQU24_RS01890		FecR family protein	CDS
EQU24_RS01895		sigma-70 family RNA polymerase sigma factor	CDS
EQU24_RS01900		RNA polymerase sigma factor	CDS
EQU24_RS01905		FecR family protein	CDS
EQU24_RS01910		transposase	CDS
EQU24_RS01915		TonB-dependent receptor	CDS
EQU24_RS01920		PepSY domain-containing protein	CDS
EQU24_RS01925		PepSY domain-containing protein	CDS
EQU24_RS01930		type II toxin-antitoxin system Phd/YefM family antitoxin	CDS
EQU24_RS01935		type II toxin-antitoxin system VapC family toxin	CDS
EQU24_RS01940		hypothetical protein	CDS
EQU24_RS01945		DUF3450 domain-containing protein	CDS
EQU24_RS01950		MotA/TolQ/ExbB proton channel family protein	CDS
EQU24_RS01955		MotA/TolQ/ExbB proton channel family protein	CDS
EQU24_RS01960		biopolymer transporter ExbD	CDS
EQU24_RS01965		energy transducer TonB	CDS
EQU24_RS01970		tetratricopeptide repeat protein	CDS
EQU24_RS01975		acyl-CoA thioesterase	CDS
EQU24_RS01980		aromatic amino acid ammonia-lyase	CDS
EQU24_RS01985		hypothetical protein	CDS
EQU24_RS01990		glycosyltransferase family 2 protein	CDS
EQU24_RS01995		AMP-binding protein	CDS
EQU24_RS02000		membrane protein	CDS
EQU24_RS02005		acyl carrier protein	CDS
EQU24_RS02010		phosphopantetheine-binding protein	CDS
EQU24_RS02015		beta-ketoacyl synthase chain length factor	CDS
EQU24_RS02020		YicC family protein	CDS
EQU24_RS02025		serine/threonine protein kinase	CDS
EQU24_RS02030	rph	ribonuclease PH	CDS
EQU24_RS02035	rdgB	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	CDS
EQU24_RS02040		hypothetical protein	CDS
EQU24_RS02045		pentapeptide repeat-containing protein	CDS
EQU24_RS02050	hemH	ferrochelatase	CDS
EQU24_RS02055		TonB-dependent receptor	CDS
EQU24_RS02060		PepSY domain-containing protein	CDS
EQU24_RS02065		cation:proton antiporter	CDS
EQU24_RS02075		VacJ family lipoprotein	CDS
EQU24_RS02080		bile acid:sodium symporter family protein	CDS
EQU24_RS02085		S8 family serine peptidase	CDS
EQU24_RS02090		transposase	CDS
EQU24_RS02100		type II toxin-antitoxin system HicB family antitoxin	CDS
EQU24_RS02105	rep	DNA helicase Rep	CDS
EQU24_RS02110			tRNA
EQU24_RS02115		sigma-54 dependent transcriptional regulator	CDS
EQU24_RS02120		DEAD/DEAH box helicase family protein	CDS
EQU24_RS02125		type I restriction-modification system subunit M	CDS
EQU24_RS02135		putative DNA binding domain-containing protein	CDS
EQU24_RS02140		UPF0175 family protein	CDS
EQU24_RS02150		Piwi domain-containing protein	CDS
EQU24_RS02155		hypothetical protein	CDS
EQU24_RS02160		hypothetical protein	CDS
EQU24_RS02165		GNAT family N-acetyltransferase	CDS
EQU24_RS02170		LapA family protein	CDS
EQU24_RS02175		hypothetical protein	CDS
EQU24_RS02180		DUF3488 and transglutaminase-like domain-containing protein	CDS
EQU24_RS02185		DUF58 domain-containing protein	CDS
EQU24_RS02190		MoxR family ATPase	CDS
EQU24_RS02195		TraR/DksA C4-type zinc finger protein	CDS
EQU24_RS02200		hypothetical protein	CDS
EQU24_RS02205	mnmG	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	CDS
EQU24_RS02210	rsmG	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	CDS
EQU24_RS02215		ParA family protein	CDS
EQU24_RS02220		ParB/RepB/Spo0J family partition protein	CDS
EQU24_RS02225		ATP synthase subunit I	CDS
EQU24_RS02230	atpB	F0F1 ATP synthase subunit A	CDS
EQU24_RS02235	atpE	F0F1 ATP synthase subunit C	CDS
EQU24_RS02240		F0F1 ATP synthase subunit B	CDS
EQU24_RS02245		F0F1 ATP synthase subunit delta	CDS
EQU24_RS02250	atpA	F0F1 ATP synthase subunit alpha	CDS
EQU24_RS02255	atpG	F0F1 ATP synthase subunit gamma	CDS
EQU24_RS02260	atpD	F0F1 ATP synthase subunit beta	CDS
EQU24_RS02265		F0F1 ATP synthase subunit epsilon	CDS
EQU24_RS02270	glmU	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	CDS
EQU24_RS02275	glmS	glutamine--fructose-6-phosphate transaminase (isomerizing)	CDS
EQU24_RS02290		DNA repair exonuclease	CDS
EQU24_RS02295		YhaN family protein	CDS
EQU24_RS02300		copper resistance protein NlpE	CDS
EQU24_RS02305		protein-L-isoaspartate(D-aspartate) O-methyltransferase	CDS
EQU24_RS02310		isochorismatase family protein	CDS
EQU24_RS02315		nicotinate phosphoribosyltransferase	CDS
EQU24_RS02320		DUF2452 domain-containing protein	CDS
EQU24_RS02325		hypothetical protein	CDS
EQU24_RS02330		DEAD/DEAH box helicase	CDS
EQU24_RS02335	smrA	DNA endonuclease SmrA	CDS
EQU24_RS02340		hypothetical protein	CDS
EQU24_RS02350		DEAD/DEAH box helicase	CDS
EQU24_RS02355	gmk	guanylate kinase	CDS
EQU24_RS02360		RNA-binding protein	CDS
EQU24_RS02370		aminoglycoside phosphotransferase family protein	CDS
EQU24_RS02375		NAD(P)/FAD-dependent oxidoreductase	CDS
EQU24_RS02380		sulfoxide reductase heme-binding subunit YedZ	CDS
EQU24_RS02385		FAD-dependent oxidoreductase	CDS
EQU24_RS02390		DNA photolyase family protein	CDS
EQU24_RS02395		lipocalin family protein	CDS
EQU24_RS02400		SRPBCC family protein	CDS
EQU24_RS02405		DUF1499 domain-containing protein	CDS
EQU24_RS02410		DUF523 and DUF1722 domain-containing protein	CDS
EQU24_RS02415		DMT family transporter	CDS
EQU24_RS02420		hypothetical protein	CDS
EQU24_RS02425		helix-hairpin-helix domain-containing protein	CDS
EQU24_RS02430		UDP-glucose/GDP-mannose dehydrogenase family protein	CDS
EQU24_RS02435		bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	CDS
EQU24_RS02440	polA	DNA polymerase I	CDS
EQU24_RS02445		HDOD domain-containing protein	CDS
EQU24_RS02450		MBL fold metallo-hydrolase	CDS
EQU24_RS02455	yihA	ribosome biogenesis GTP-binding protein YihA/YsxC	CDS
EQU24_RS02460		cytochrome c4	CDS
EQU24_RS02470		thiol:disulfide interchange protein DsbA/DsbL	CDS
EQU24_RS02475		GGDEF domain-containing protein	CDS
EQU24_RS02485		hypothetical protein	CDS
EQU24_RS02490	thpR	RNA 2',3'-cyclic phosphodiesterase	CDS
EQU24_RS02495	xseA	exodeoxyribonuclease VII large subunit	CDS
EQU24_RS02500		flagellar brake protein	CDS
EQU24_RS02505		multidrug efflux SMR transporter	CDS
EQU24_RS02510		DsrH/TusB family sulfur relay protein	CDS
EQU24_RS02515		TusE/DsrC/DsvC family sulfur relay protein	CDS
EQU24_RS02520		S4 domain-containing protein	CDS
EQU24_RS02525		rhodanese-like domain-containing protein	CDS
EQU24_RS02530		DUF6394 family protein	CDS
EQU24_RS02535		NAD-binding protein	CDS
EQU24_RS02540	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	CDS
EQU24_RS02545	rraA	ribonuclease E activity regulator RraA	CDS
EQU24_RS02555		cache domain-containing protein	CDS
EQU24_RS02560	yegQ	tRNA 5-hydroxyuridine modification protein YegQ	CDS
EQU24_RS02565	dtd	D-aminoacyl-tRNA deacylase	CDS
EQU24_RS02570		thermonuclease family protein	CDS
EQU24_RS02575		putative DNA-binding domain-containing protein	CDS
EQU24_RS02580		DUF692 domain-containing protein	CDS
EQU24_RS02585		hypothetical protein	CDS
EQU24_RS02590	nth	endonuclease III	CDS
EQU24_RS02595		electron transport complex subunit E	CDS
EQU24_RS02600	rsxG	electron transport complex subunit RsxG	CDS
EQU24_RS02605	rsxD	electron transport complex subunit RsxD	CDS
EQU24_RS02610	rsxC	electron transport complex subunit RsxC	CDS
EQU24_RS02615	rsxB	electron transport complex subunit RsxB	CDS
EQU24_RS02620	rsxA	electron transport complex subunit RsxA	CDS
EQU24_RS02625		carbonic anhydrase family protein	CDS
EQU24_RS02630	gmd	GDP-mannose 4,6-dehydratase	CDS
EQU24_RS02635		GDP-L-fucose synthase	CDS
EQU24_RS02640	secA	preprotein translocase subunit SecA	CDS
EQU24_RS02645		glycogen/starch/alpha-glucan phosphorylase	CDS
EQU24_RS02650	trmL	tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL	CDS
